deposit,deposit_age_Ma,ResultNo,RefNo,RockName,Authors,Year,Continent,site_lat,site_lon,pole_lat,pole_lon,A95,lo_age,hi_age,mid_age,Q,site_distance_deg
Azul-Carajas,1850.0,10071,4208,Velho Guilherme Suite,"Antonio, P.Y.J., D’Agrella-Filho, M.S., Nédélec, A., Poujol, M., Sanchez, C., Dantas, E.L., Dall’Agnol, R., Teixeira, M.F.B., Proietti, A., Martínez Dopico, C.I., Oliveira, D.C., Silva, F.F., Marangoanha, B., Trindade, R.I.F.",2021,South America,-7.0,-51.0,-30.2,221.3,10.8,1847.0,1865.0,1856.0,6.0,1.1373713976580773
Azul-Carajas,1850.0,10069,4208,Carajás Dykes,"Antonio, P.Y.J., D’Agrella-Filho, M.S., Nédélec, A., Poujol, M., Sanchez, C., Dantas, E.L., Dall’Agnol, R., Teixeira, M.F.B., Proietti, A., Martínez Dopico, C.I., Oliveira, D.C., Silva, F.F., Marangoanha, B., Trindade, R.I.F.",2021,South America,-7.0,-51.0,-23.3,328.7,5.0,1879.0,1884.0,1881.5,7.0,1.1373713976580773
Azul-Carajas,1850.0,9911,4100,Santa Rosa and Sobreiro formations,"Antonio, P.Y.J., D’Agrella-Filho, M.S., Trindade, R.I.F., Nédélec, A., de Oliveira, D.C., da Silva, F.F., Roverato, M., Lana, C.",2017,South America,-6.7,-52.1,-24.7,319.7,9.6,1872.0,1906.0,1889.0,7.0,1.8867189346845363
Azul-Carajas,1850.0,9910,4100,Velho Guilherme Suite,"Antonio, P.Y.J., D’Agrella-Filho, M.S., Trindade, R.I.F., Nédélec, A., de Oliveira, D.C., da Silva, F.F., Roverato, M., Lana, C.",2017,South America,-6.6,-52.0,-31.1,220.1,12.4,1840.0,1880.0,1860.0,7.0,1.7619949104438415
Azul-Carajas,1850.0,9499,3841,Avanavero Sills,"Bispo-Santos, F., D’Agrella-Filho, M.S., Trindade, R.I.F., Janikian, L., Reis, N.J.",2014,South America,4.5,-60.3,48.4,207.9,13.0,1786.0,1792.0,1789.0,6.0,14.562101953060434
Azul-Carajas,1850.0,9486,3828,Surumu Volcanics,"Bispo-Santos, F., D’Agrella-Filho, M.S., Janikian, L., Reis, N.J., Trindade, R.I.F., Reis, M.A.A.A.",2014,South America,4.4,-60.8,27.4,234.8,10.1,1960.0,1980.0,1970.0,6.0,14.838013123801423
Azul-Carajas,1850.0,9300,3699,Colider Suite,"Bispo-Santos, F., D'Agrella-Filho, M.S., Pacca, I.I.G., Janikian, L., Trindade, R.I.F., Elming, S.-A., Silva, J.A., Barros, M.A.S., Pinho, F.E.C.",2008,South America,-9.6,-54.9,63.3,118.8,9.8,1782.0,1796.0,1789.0,4.0,5.745280121910182
Azul-Carajas,1850.0,8975,3536,French Guiana Granite and Amphibolite,"Nomade, S., Chen, Y., Pouclet, A., Féraud, G., Théveniaut, H., Daouda, B.Y., Vidal, M., Rigolet, C.",2003,South America,2.6,-52.6,5.0,230.0,19.9,1968.0,2017.0,1992.5,4.0,8.998048600534064
Azul-Carajas,1850.0,8493,3315,Uaua Dykes,"D'Agrella-Filho, M.S., Pacca, I.G.",1998,South America,-10.0,-39.4,23.8,331.4,4.1,1952.0,2014.0,1983.0,4.0,11.473249924084007
Azul-Carajas,1850.0,3004,701,Kabaledo Dykes,"Veldkamp, J., Mulder, F.G., Zijderveld, J.D.A.",1971,South America,5.0,-57.5,44.0,210.0,20.2,1650.0,1850.0,1750.0,3.0,13.224330037214669
Bronkhorstfontein,1880.0,9971,4143,Black Hills Dykes,"Djeutchou, C., de Kock, M.O., Wabo, H., Gaitán, C.E., Söderlund, U., Gumsley, A.P.",2021,Africa,-24.5,30.5,15.3,14.9,,1839.0,1871.0,1855.0,7.0,1.3649352025600807
Bronkhorstfontein,1880.0,9694,3958,Hartley Magmatic Province,"Semami, A.F., de Kock, M., Söderlund, U., Gumsley, A., Da Silva, R., Beukes, N., Armstrong, R.",2016,Africa,-26.7,26.0,22.7,328.6,14.6,1915.0,1927.0,1921.0,4.0,3.486816032461632
Bronkhorstfontein,1880.0,9423,3784,Black Hills Dykes,"Lubnina, N.V., Ernst, R., Klausen, M, Söderlund, U.",2010,Africa,-24.3,30.8,9.4,352.0,11.5,1835.0,1875.0,1855.0,6.0,1.6513736083411217
Bronkhorstfontein,1880.0,9418,3782,Vredefort Impact Structure Combined,"Salminen, J., Pesonen, L.J., Reimold, W.U., Donadini, F., Gibso, R.L.",2009,Africa,-26.9,27.3,22.8,41.6,5.6,2019.0,2027.0,2023.0,4.0,2.8470848399228403
Bronkhorstfontein,1880.0,9417,3782,Vredefort Impact Structure,"Salminen, J., Pesonen, L.J., Reimold, W.U., Donadini, F., Gibso, R.L.",2009,Africa,-26.9,27.3,25.4,43.8,8.1,2019.0,2027.0,2023.0,4.0,2.8470848399228403
Bronkhorstfontein,1880.0,9686,3955,Post-Waterberg Sill,"de Kock, M.O., Evans, D.A.D., Dorland, H.C., Beukes, N.J., Gutzmer, J.",2006,Africa,-24.49,27.46,10.3,22.3,8.6,1871.0,1873.0,1872.0,3.0,1.4014245061203374
Bronkhorstfontein,1880.0,9685,3955,Upper Swaershoek Formation and Alma Formation,"de Kock, M.O., Evans, D.A.D., Dorland, H.C., Beukes, N.J., Gutzmer, J.",2006,Africa,-24.5,28.5,10.5,150.4,8.5,1930.0,2054.0,1992.0,5.0,0.45498038716371336
Bronkhorstfontein,1880.0,9402,3767,Vredefort Impact Dykes,"Carporzen, L., Gilder, S.A., Hart, R.J.",2005,Africa,-27.8,27.4,21.1,48.4,3.9,2019.0,2027.0,2023.0,4.0,3.598853401797713
Bronkhorstfontein,1880.0,9403,3767,Vredefort Impact Pseudotachylite,"Carporzen, L., Gilder, S.A., Hart, R.J.",2005,Africa,-27.8,27.4,22.3,45.1,1.9,2019.0,2027.0,2023.0,3.0,3.598853401797713
Bronkhorstfontein,1880.0,9264,3683,"Moshaneng Dolerites, site JP10","Hanson, R.E., Gose, W.A., Crowley, J.L., Ramezani, J., Bowring, S.A., Bullen, D.S., Hall, R.P., Pancake, J.A., Mukwakwami, J.",2004,Africa,-24.9,25.25,39.6,318.5,7.5,1926.0,1929.0,1927.5,4.0,3.430190288931268
Bronkhorstfontein,1880.0,9263,3683,"Moshaneng Dolerites, site JP9","Hanson, R.E., Gose, W.A., Crowley, J.L., Ramezani, J., Bowring, S.A., Bullen, D.S., Hall, R.P., Pancake, J.A., Mukwakwami, J.",2004,Africa,-24.96,25.25,45.0,329.4,6.3,1926.0,1929.0,1927.5,4.0,3.4368861052093433
Bronkhorstfontein,1880.0,9262,3683,Post-Waterberg Dolerites and Basalts,"Hanson, R.E., Gose, W.A., Crowley, J.L., Ramezani, J., Bowring, S.A., Bullen, D.S., Hall, R.P., Pancake, J.A., Mukwakwami, J.",2004,Africa,-23.0,28.0,15.6,17.1,6.0,1870.0,1880.0,1875.0,6.0,1.7571898038561788
Bronkhorstfontein,1880.0,9024,3553,Hartley Lava,"Evans, D.A.D., Beukes, N.J., Kirschvink, J.L.",2002,Africa,-27.9,22.8,12.5,332.8,10.3,1924.0,1932.0,1928.0,4.0,6.518083668215299
Bronkhorstfontein,1880.0,8755,3441,Kalahari Manganese Ores,"Evans, D.A.D., Gutzmer, J., Beukes, N.J., Kirschvink, J.L.",2001,Africa,-27.3,23.0,16.1,317.8,5.9,1800.0,1900.0,1850.0,3.0,6.079174769433352
Bronkhorstfontein,1880.0,8097,3088,Mashonaland Dolerites,"Bates,M.P., Jones,D.L.",1996,Africa,-18.0,32.0,8.0,338.0,5.0,1870.0,1885.0,1877.5,6.0,7.074978319741866
Bronkhorstfontein,1880.0,9416,3781,Vredefort Impact Structure,"Hart, R.J., Hargraves, R.B., Andreoli, M.A,G., Tredoux, M., Doucoure, C.M.",1995,Africa,-27.6,27.6,21.7,49.0,16.0,2019.0,2027.0,2023.0,4.0,3.34534327966455
Bronkhorstfontein,1880.0,8241,3172,Great Dyke related intrusions,"Mushayandebvu,M.F., Jones,D.L., Briden,J.C.",1995,Africa,-20.5,30.0,30.5,2.6,9.2,1900.0,2000.0,1950.0,3.0,4.105243597676648
