bin_center_Ma,age_lo_Ma,age_hi_Ma,n_total,n_sedimentary,n_volcanogenic,n_karst
5.0,0,10,4,0,4,0
15.0,10,20,1,0,1,0
25.0,20,30,9,9,0,0
35.0,30,40,1,0,1,0
45.0,40,50,3,0,3,0
55.0,50,60,0,0,0,0
65.0,60,70,1,1,0,0
75.0,70,80,0,0,0,0
85.0,80,90,3,0,3,0
95.0,90,100,7,3,3,1
105.0,100,110,0,0,0,0
115.0,110,120,0,0,0,0
125.0,120,130,1,0,1,0
135.0,130,140,0,0,0,0
145.0,140,150,4,0,4,0
155.0,150,160,5,2,3,0
165.0,160,170,1,1,0,0
175.0,170,180,1,0,1,0
185.0,180,190,4,4,0,0
195.0,190,200,3,1,0,2
205.0,200,210,0,0,0,0
215.0,210,220,0,0,0,0
225.0,220,230,0,0,0,0
235.0,230,240,2,2,0,0
245.0,240,250,0,0,0,0
255.0,250,260,2,1,1,0
265.0,260,270,1,0,1,0
275.0,270,280,1,1,0,0
285.0,280,290,0,0,0,0
295.0,290,300,0,0,0,0
305.0,300,310,0,0,0,0
315.0,310,320,0,0,0,0
325.0,320,330,1,1,0,0
335.0,330,340,2,0,1,1
345.0,340,350,1,0,0,1
355.0,350,360,0,0,0,0
365.0,360,370,1,1,0,0
375.0,370,380,4,0,4,0
385.0,380,390,2,0,1,1
395.0,390,400,1,0,1,0
405.0,400,410,0,0,0,0
415.0,410,420,0,0,0,0
425.0,420,430,1,1,0,0
435.0,430,440,0,0,0,0
445.0,440,450,2,2,0,0
455.0,450,460,1,1,0,0
465.0,460,470,1,1,0,0
475.0,470,480,0,0,0,0
485.0,480,490,1,0,1,0
495.0,490,500,0,0,0,0
505.0,500,510,1,0,0,1
515.0,510,520,2,2,0,0
525.0,520,530,2,2,0,0
535.0,530,540,2,1,1,0
545.0,540,550,0,0,0,0
555.0,550,560,1,1,0,0
565.0,560,570,0,0,0,0
575.0,570,580,0,0,0,0
585.0,580,590,0,0,0,0
595.0,590,600,0,0,0,0
605.0,600,610,2,2,0,0
615.0,610,620,0,0,0,0
625.0,620,630,0,0,0,0
635.0,630,640,0,0,0,0
645.0,640,650,0,0,0,0
655.0,650,660,0,0,0,0
665.0,660,670,9,9,0,0
675.0,670,680,0,0,0,0
685.0,680,690,0,0,0,0
695.0,690,700,0,0,0,0
705.0,700,710,5,4,1,0
715.0,710,720,0,0,0,0
725.0,720,730,0,0,0,0
735.0,730,740,0,0,0,0
745.0,740,750,0,0,0,0
755.0,750,760,1,0,1,0
765.0,760,770,0,0,0,0
775.0,770,780,1,1,0,0
785.0,780,790,0,0,0,0
795.0,790,800,0,0,0,0
805.0,800,810,1,1,0,0
815.0,810,820,0,0,0,0
825.0,820,830,0,0,0,0
835.0,830,840,0,0,0,0
845.0,840,850,0,0,0,0
855.0,850,860,0,0,0,0
865.0,860,870,0,0,0,0
875.0,870,880,0,0,0,0
885.0,880,890,0,0,0,0
895.0,890,900,0,0,0,0
905.0,900,910,1,1,0,0
915.0,910,920,1,1,0,0
925.0,920,930,0,0,0,0
935.0,930,940,0,0,0,0
945.0,940,950,0,0,0,0
955.0,950,960,0,0,0,0
965.0,960,970,0,0,0,0
975.0,970,980,0,0,0,0
985.0,980,990,0,0,0,0
995.0,990,1000,0,0,0,0
1005.0,1000,1010,0,0,0,0
1015.0,1010,1020,0,0,0,0
1025.0,1020,1030,0,0,0,0
1035.0,1030,1040,0,0,0,0
1045.0,1040,1050,0,0,0,0
1055.0,1050,1060,0,0,0,0
1065.0,1060,1070,0,0,0,0
1075.0,1070,1080,0,0,0,0
1085.0,1080,1090,0,0,0,0
1095.0,1090,1100,0,0,0,0
1105.0,1100,1110,0,0,0,0
1115.0,1110,1120,0,0,0,0
1125.0,1120,1130,2,2,0,0
1135.0,1130,1140,0,0,0,0
1145.0,1140,1150,0,0,0,0
1155.0,1150,1160,0,0,0,0
1165.0,1160,1170,0,0,0,0
1175.0,1170,1180,0,0,0,0
1185.0,1180,1190,0,0,0,0
1195.0,1190,1200,0,0,0,0
1205.0,1200,1210,0,0,0,0
1215.0,1210,1220,0,0,0,0
1225.0,1220,1230,0,0,0,0
1235.0,1230,1240,0,0,0,0
1245.0,1240,1250,0,0,0,0
1255.0,1250,1260,0,0,0,0
1265.0,1260,1270,0,0,0,0
1275.0,1270,1280,0,0,0,0
1285.0,1280,1290,0,0,0,0
1295.0,1290,1300,0,0,0,0
1305.0,1300,1310,0,0,0,0
1315.0,1310,1320,0,0,0,0
1325.0,1320,1330,0,0,0,0
1335.0,1330,1340,0,0,0,0
1345.0,1340,1350,0,0,0,0
1355.0,1350,1360,0,0,0,0
1365.0,1360,1370,0,0,0,0
1375.0,1370,1380,0,0,0,0
1385.0,1380,1390,0,0,0,0
1395.0,1390,1400,0,0,0,0
1405.0,1400,1410,1,0,1,0
1415.0,1410,1420,0,0,0,0
1425.0,1420,1430,0,0,0,0
1435.0,1430,1440,0,0,0,0
1445.0,1440,1450,0,0,0,0
1455.0,1450,1460,0,0,0,0
1465.0,1460,1470,0,0,0,0
1475.0,1470,1480,0,0,0,0
1485.0,1480,1490,0,0,0,0
1495.0,1490,1500,0,0,0,0
1505.0,1500,1510,1,0,1,0
1515.0,1510,1520,0,0,0,0
1525.0,1520,1530,0,0,0,0
1535.0,1530,1540,0,0,0,0
1545.0,1540,1550,0,0,0,0
1555.0,1550,1560,0,0,0,0
1565.0,1560,1570,0,0,0,0
1575.0,1570,1580,0,0,0,0
1585.0,1580,1590,0,0,0,0
1595.0,1590,1600,0,0,0,0
1605.0,1600,1610,1,0,1,0
1615.0,1610,1620,0,0,0,0
1625.0,1620,1630,0,0,0,0
1635.0,1630,1640,0,0,0,0
1645.0,1640,1650,0,0,0,0
1655.0,1650,1660,0,0,0,0
1665.0,1660,1670,0,0,0,0
1675.0,1670,1680,0,0,0,0
1685.0,1680,1690,0,0,0,0
1695.0,1690,1700,0,0,0,0
1705.0,1700,1710,0,0,0,0
1715.0,1710,1720,0,0,0,0
1725.0,1720,1730,0,0,0,0
1735.0,1730,1740,0,0,0,0
1745.0,1740,1750,0,0,0,0
1755.0,1750,1760,0,0,0,0
1765.0,1760,1770,0,0,0,0
1775.0,1770,1780,0,0,0,0
1785.0,1780,1790,0,0,0,0
1795.0,1790,1800,0,0,0,0
1805.0,1800,1810,1,0,1,0
1815.0,1810,1820,0,0,0,0
