deposit_name,country,state,deposit_type,age_Ma,host_formation,metamorphic_grade,mineral,latitude,longitude,coord_confidence,host_class,supergene
Abbotabad,Pakistan,Hazara,sediment-hosted,517.0,Hazira,,bixbyite,34.15,73.2,region,sediment-hosted,False
Adilabad,India,Andhra Pradesh,sediment-hosted,770.0,Penganga,,rhodochrosite,19.7,79.4,auto(PP1802/seed),sediment-hosted,False
Akkermanov,Russia,Orenburg,sediment-hosted,328.0,,none,rhodochrosite,51.2,57.6,region,sediment-hosted,False
Ananai,Japan,Shikoku,volcanic-hosted,265.0,,,caryoplite,33.6,133.6,region,volcanic-hosted,False
Azul-Carajas,Brazil,Para,sediment-hosted,1850.0,Rio Fresco,,rhodochrosite,-6.1,-50.3,lit,sediment-hosted,False
Bald Knob,USA,NC,volcanic-hosted,750.0,Ashe,amphibolite,rhodochrosite,36.4,-81.4,lit,volcanic-hosted,False
Binkiliç,Turkey,,sediment-hosted,28.0,,none,cryptomelane,41.3,28.2,region,sediment-hosted,True
Blue Jay,USA,CA,volcanic-hosted,158.0,Franciscan,none,amorphous oxides + braunite,37.5,-122.3,region,volcanic-hosted,False
"Bolske (Bolshoi, Bolshe, Bol'she)-Tokmak",Russia,,sediment-hosted,28.0,,,,47.25,35.7,lit,sediment-hosted,False
Bonai-Keonjhar,India,North Orissa,sediment-hosted,3200.0,Iron Ore Group,,cryptomelane,21.9,85.6,lit,sediment-hosted,True
Bronkhorstfontein,Zuid Afrika,Limpopo,sediment-hosted,1880.0,Wyllies Poort,none,cryptomelane,-24.5,29.0,region,sediment-hosted,True
Buckeye-Ladd-Thomas,USA,CA,volcanic-hosted,145.0,Franciscan,blueschist,"braunite, rhodochrosite",37.4,-122.2,region,volcanic-hosted,False
Çayirh,Turkey,,volcanic-hosted,85.0,,,,40.0,33.0,country,volcanic-hosted,False
Çevretepe-Dozuztekne,Turkey,,volcanic-hosted,85.0,Isali,,,40.0,33.0,country,volcanic-hosted,False
