deposit,type,age_Ma,country,tonnage_production,tonnage_reserves,tonnage_total_metal,n_analyses,MnO(%),Fe2O3 t,SiO2 (%),Al2O3 (%),CaO(%),MgO(%),K2O(%),Na2O(%),P2O5,TiO2 (%),LOI (%),As,Ba,Cd,Co,Cr,Cu,Mo,Nb,Ni,Pb,Rb,Sc,Sr,Th,U,V,Y,Zn,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,LaCN,CeCN,PrCN,NdCN,SmCN,EuCN,GdCN,TbCN,YbCN,Ce/Ce*,Eu/Eu*,LaN/YbN,Ce/Ce* @Alo,Eu/Eu* @Alo,LaN/YbN @Alo,% Ccarb,% Corg,δ13Ccarb pdb,δ13Ccarb pdb_1,δ13Corg,δ18Ocarb pdb,δ18Ocarb smow,δ18Ocarb pdb_1,δ18Ocarb smow_1,% Stotal,δ34S pyrite,δ34S barite,δ34S gypsum
Abbotabad,sedimentary,517.0,Pakistan,,0.5,0.13,18,27.41399424339834,24.662000404405315,5.410537716469153,13.96923497917182,9.283572321772272,0.5440969471430499,0.8574965778852119,0.09721480441441548,4.255768192559665,0.9424580999899769,10.51473684210526,,5474.687346712521,,391.4282431066054,220.4877702555206,348.2497661854427,3.389870584280493,1.797233698507801,287.2812129469568,2593.9012357665547,19.09717670370836,41.625,434.0121540239829,35.13070717107994,4.414860183958791,602.3835453144825,71.62526145678362,594.1198205367056,79.90542073664875,116.0,387.0,,139.0,34.4,9.83,34.53,,27.78,,22.7,,18.3,2.09,316.07629427792915,404.3887147335423,229.4531942821549,195.49929676511957,148.9177489177489,112.98850574712644,112.84313725490196,,73.79032258064517,1.5016060546781136,0.8716125160589667,4.283438304968657,1.5016060546781136,0.8716125160589667,,,,,,,,,,,,,,
Adilabad,sedimentary,770.0,India,,0.25,0.3,7,29.843253275109166,1.36,17.066666666666666,0.5333333333333333,15.1,1.4666666666666668,0.14333333333333334,0.05,0.01,0.11,29.066666666666666,,269.03333333333336,,8.0,37.333333333333336,31.0,,,20.0,5.2,5.346666666666667,,183.66666666666666,0.13333333333333333,0.04833333333333333,30.333333333333332,10.1,0.0,5.0,8.433333333333334,44.666666666666664,2.1266666666666665,8.083333333333334,1.7466666666666668,0.38766666666666666,1.9933333333333334,0.327,1.9933333333333334,0.4056666666666667,1.1199999999999999,0.155,0.8453333333333335,0.119,22.97910990009083,46.67363288052943,15.523114355231144,11.36896390060947,7.561327561327562,4.4559386973180075,6.514161220043573,5.637931034482759,3.4086021505376345,2.532277316697648,0.6351820358288793,6.769141357689599,2.050179607261353,0.608374070399649,,4.815972222222222,0.029,1.01,-4.441000000000001,-28.35,-7.45875,23.24725,-6.601999999999999,24.104,,,,
Akkermanov,sedimentary,328.0,Russia,,1.2,0.13799999999999998,,15.8,2.13,14.4,0.88,,,,,0.22,0.04,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananai,volcanogenic,265.0,Japan,0.2,,0.06,18,36.26470588235293,7.789411764705882,39.917647058823526,3.605882352941176,3.6217647058823523,1.1370588235294117,0.38852941176470585,0.9205882352941178,0.5876470588235293,0.4594117647058823,5.319411764705883,,5141.176470588235,,58.01176470588237,43.692352941176466,18.688235294117643,,12.314117647058824,140.7058823529412,,13.583529411764706,5.389411764705883,411.87647058823535,2.155294117647059,1.9370588235294113,80.1705882352941,25.454117647058823,180.94117647058823,40.97176470588235,24.70588235294118,39.06470588235294,5.529411764705882,21.988235294117644,4.235294117647059,1.5705882352941178,4.041176470588234,0.4294117647058823,3.523529411764705,0.7529411764705882,1.964705882352941,0.28823529411764703,1.8176470588235292,0.2647058823529412,67.31848052572529,40.819964349376114,40.3606698153714,30.925788036733678,18.334606569900686,18.052738336714,13.206459054209915,7.40365111561866,7.329222011385198,0.7831163407161404,1.1601498686284375,9.18494219729637,0.7465,3.0691,,,,,,,,,,,,,,
Azul-Carajas,sedimentary,1850.0,Brazil,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Knob,volcanogenic,750.0,USA,,0.5,0.12915384615384617,13,23.36,3.6080000000000005,12.232000000000001,5.242,23.72,2.14,0.01,0.0094,0.01,0.158,0.01,4.368,38.0,0.362,295.6,11.6,35.44,0.0,3.7400000000000007,54.6,0.0,5.0,0.0,418.0,1.34,0.712,128.4,19.04,35.0,40.8,7.959999999999999,19.98,0.0,8.44,2.46,0.576,0.0,0.518,0.0,0.0,0.0,0.0,2.2239999999999998,0.34400000000000003,21.689373297002724,20.877742946708466,14.437925581317296,11.870604781997189,10.649350649350648,6.620689655172415,9.215303806028667,8.931034482758621,8.96774193548387,1.1797979708638715,0.6683236633810619,2.4185991806010234,1.1912,0.5476,,,,,,,,,,,,,,
Binkiliç,sedimentary,28.0,Turkey,,1,0.36203703703703705,13,47.633318466850724,3.3105380095375945,11.779893221242624,4.215614195293915,15.312106265100057,0.8018991661763486,0.4137974999346108,0.5177771627860125,0.6381971714695934,0.5377666916141708,12.610630611532809,,5202.371543489191,,78.1,13.338461538461539,81.52307692307691,,,228.19230769230768,43.8,,,495.2,,,50.29230769230769,11.353846153846153,57.0,48.9076923076923,13.0,21.666666666666668,,10.666666666666666,2.3333333333333335,3.0,,,1.0,,,,1.0,,35.42234332425068,22.640195053988162,19.966688982213732,15.002344116268167,10.101010101010102,34.48275862068966,,,4.032258064516129,0.8513114871859122,,8.78474114441417,0.851,,,,,,,,,,,,,,,
Blue Jay,volcanogenic,158.0,USA,0.004645,,0.0015847191666666666,26,54.96,2.0988,23.198,1.0,0.52,1.2120000000000002,0.136,0.254,0.10399999999999998,0.05800000000000001,15.1,,,,,47.7,,,40.0,,21.82,8.0,,76.0,0.6,4.08,,10.0,,5.0,16.325,13.475,0.0,14.475,2.8,0.8325,0.0,0.5,0.0,0.0,0.0,0.0,1.2,0.194,44.48228882833787,14.080459770114944,26.3886046132341,20.358649789029535,12.121212121212121,9.56896551724138,12.622549019607842,8.620689655172413,5.846774193548388,0.5113490047064412,0.7229761648987816,7.850712638859778,0.8642,0.3923,,,,,,,,,,,,,,
"Bolske (Bolshoi, Bolshe, Bol'she)-Tokmak",sedimentary,28.0,Russia,,450,107.01,,30.72,1.8733,18.7,,,,,,0.20454545454545453,,,,,,10.0,,14.0,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonai-Keonjhar,sedimentary,3200.0,India,,25,6.708333333333334,,42.69571428571429,17.229285714285716,10.089285714285717,7.093571428571428,0.14333333333333334,0.15666666666666665,1.2333333333333332,0.06666666666666668,0.13833333333333334,0.06833333333333334,13.2125,18.166666666666668,2726.5,,592.7857142857143,20.583333333333332,264.64285714285717,10.216666666666667,1.49,202.85714285714286,63.357142857142854,20.0,37.42857142857143,413.3333333333333,0.1,1.6,54.38333333333333,45.785714285714285,400.2857142857143,13.166666666666666,61.37142857142856,175.04642857142858,18.62142857142857,66.35,21.492857142857144,5.904285714285714,16.521428571428572,2.5728571428571425,13.62142857142857,2.7128571428571426,6.160714285714286,0.9514285714285714,5.736428571428571,0.8057142857142858,167.22460101206693,182.91162860128378,135.92283628779975,93.31926863572434,93.0426716141002,67.86535303776684,53.99159663865545,44.35960591133004,23.130760368663598,1.4245710743498075,0.9931152064780306,7.417841464592295,0.5972,0.9839,,,,,,,,,,,,,,
