lat,lon,age_mid,min_age,max_age,group,genesis_class,Minerals,Mn Ion,mindat ID,Locality containing Mineral
20.434166666667,5.1933333333333,530.0,500.0,560.0,Other,Other/uncertain,Masutomilite,Mn^2+,67348,"Oua-n-Rechla, Ahaggar Mtn (Hoggar Mtn), Tamanghasset Province, Algeria"
-12.15,15.949999999999989,105.5,66.0,145.0,Other,Other/uncertain,Hollandite,Mn^4+,158061,"Bailundo, Bailundo City Council, Huambo Province, Angola"
-84.289166666667,161.40916666667,0.08,0.006,0.154,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,244416,"Lewis Cliff, Buckley Island Quadrangle, Transantarctic Mts, Eastern Antarctica, Antarctica"
-77.151944444444,147.41472222222,531.0,525.5,536.5,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,24850,"Victoria Land, Eastern Antarctica, Antarctica"
-27.274444444444,-66.661111111111,8.0,8.0,8.0,Other,Supergene/oxidation product,Chalcophanite,Mn^4+,11134,"Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca Province, Argentina"
-27.274444444444,-66.661111111111,8.0,8.0,8.0,Other,Hydrothermal/metasomatic,Cryptomelane,Mn^4+,261036,"Esperanza South-East Vein, Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca Province, Argentina"
-27.274444444444,-66.661111111111,8.0,8.0,8.0,B,Burial diagenetic carbonate,Kutnohorite,Mn^2+,261036,"Esperanza South-East Vein, Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca Province, Argentina"
-27.274444444444,-66.661111111111,8.0,8.0,8.0,Other,Supergene/oxidation product,Manganite,Mn^3+,261036,"Esperanza South-East Vein, Farallón Negro Mine, Agua De Dionisio Mining District (YMAD), Farallón Negro, Belén Department, Catamarca Province, Argentina"
-23.129444444444,-65.716111111111,477.5,470.0,485.0,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,22980,"La Esperanza Deposit, Aguilar District, Humahuaca Department, Jujuy Province, Argentina"
-23.129444444444,-65.716111111111,477.5,470.0,485.0,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,22977,"Aguilar Mine, Aguilar Mining District, Humahuaca Department, Jujuy Province, Argentina"
-23.217777777778,-65.689166666667,477.5,470.0,485.0,Other,Magmatic/pegmatitic or phosphate-stage,Helvine,Mn^2+,22977,"Aguilar Mine, Aguilar Mining District, Humahuaca Department, Jujuy Province, Argentina"
-33.095555555556,-66.123333333333,460.0,460.0,460.0,Other,Magmatic/pegmatitic or phosphate-stage,Columbite-(Mn),Mn^2+,251763,"Virorco Pegmatites, Las Águilas Deposit, El Trapiche, Coronel Pringles Department, San Luis Province, Argentina"
-32.9825,-65.982777777778,463.0,438.0,488.0,Other,Other/uncertain,Bermanite,Mn^2+,11465,"San Luis Mine, La Florida, Totoral Pegmatitic Field, Coronel Pringles Department, San Luis Province, Argentina"
-32.9825,-65.982777777778,463.0,438.0,488.0,Other,Magmatic/pegmatitic or phosphate-stage,Hureaulite,Mn^2+,11465,"San Luis Mine, La Florida, Totoral Pegmatitic Field, Coronel Pringles Department, San Luis Province, Argentina"
-32.982777777778,-65.982777777778,450.0,438.0,462.0,Other,Magmatic/pegmatitic or phosphate-stage,Lithiophilite,Mn^2+,258221,"San Luis II Mine, San Luis Mine, La Florida, Totoral Pegmatitic Field, Coronel Pringles Department, San Luis Province, Argentina"
39.375,46.022777777778,22.0,22.0,22.0,Other,Hydrothermal/metasomatic,Alabandite,Mn^2+,206296,"Dastakert Cu Deposit, Syunik' Province, Armenia"
